dataset,method,IBS_HM,mse,Max_brier,mae,mdape,fit_time,inference_time,r2,Max_brier_HM,IBS,mape,rmse,mean_roc,c_index,c_index_mean,mdape_t05,mdape_tE,mdape_tPDF
HNEI,ElasticNet,0.0908517101710171,42233.87200457419,0.1296183701360064,113.3710915243128,0.1523077377185943,0.010831594467163,0.0077161788940429,0.5931017442087697,0.146875,0.0827090840728309,1.057351487022151,205.50881247424448,0.7600508051854176,0.9132243683830652,,,,
HNEI,RandomForest,0.0478089840234023,5588.083984214286,0.0948165715125737,53.1880520573437,0.0727586623955706,0.2408926486968994,0.0764198303222656,0.9461621319933574,0.114375,0.040945050523151,0.5260778991680649,74.75348810734042,0.8918735160266374,0.9411688578776858,,,,
HNEI,TABPFNv2,0.0511871343384338,7001.00218953146,0.104144542027208,56.98784623205662,0.0715215749361969,1.6084637641906738,3.715954542160034,0.932549504828674,0.1171875,0.0445909446538515,1.0901950722923044,83.67199166705343,0.8805278738802764,0.9326752923200354,,,,
HNEI,CatBoost_W_,0.0462248256075607,4833.31504858505,0.095800256803163,51.43044296054712,0.0730207289661398,5.861351251602173,0.0234174728393554,0.953433882104256,0.10875,0.0392569687064326,0.3711387236334749,69.52204721226965,0.8989051562177485,0.9448058993400952,,,,
HNEI,XGBoost,0.0493524977497749,5582.972084465382,0.1009200661216084,54.97182373091579,0.0719122512682782,0.8379485607147217,0.0195424556732177,0.9462113821092688,0.11625,0.0423994858066816,0.5144486666074846,74.71928857039113,0.8833821525969839,0.9402596219486544,,,,
HNEI,sktimeLSTMFCN,0.0406579095409541,3732.269256668288,0.0862271647028359,45.68504152089358,0.0592044136879439,118.94918370246889,0.6737523078918457,0.9640418039218124,0.0971875,0.034293251017454,0.5524283233484482,61.09230112435026,0.869417035634085,0.9610484970140464,,,,
HNEI,sktimeInceptionTime,0.0452015357785778,4567.249290464834,0.1092440613948262,50.35703382849693,0.0523260154274873,141.6206600666046,2.6628029346466064,0.9559972675521534,0.1234375,0.0385401188303668,0.6464921428057605,67.58142711178002,0.8555787075090785,0.9579640152922104,,,,
HNEI,sktimeCNN,0.0461170960846084,4348.777280957848,0.0866366276773287,51.3601499915123,0.0802381691036216,32.43362259864807,0.807894229888916,0.9581021155186854,0.1,0.03897036026358,0.3848498372622069,65.94525973076342,0.8776515768359713,0.948834707906736,,,,
HNEI,sktimeFCN,0.0548168879387938,6241.813434064362,0.0996193950072252,62.326821698844434,0.0906878948137348,34.42382526397705,1.1285834312438965,0.9398638372768666,0.1096875,0.047408264530709,0.5857765051596003,79.00514814911976,0.8788751886464665,0.9456732021135092,,,,
HNEI,sktimeResNet,0.0571266032853285,7553.173251521063,0.1040093537699161,63.86536323063076,0.0920784280498427,48.64905834197998,2.5046496391296387,0.927229664819744,0.1171875,0.0498016874486373,0.4190730728976601,86.90899407725914,0.8873404629197265,0.9241344175611756,,,,
